vendor.lot.no,pref.vendor,test.seeds.per.sf,live.seed.per.lb,price_kw14,code,peak,sprawl,lower,upper,genus,species,subspecies,gen_sp,family,flower_type,peak.ol,flower.area,author,Wild.bees,SE.wb,Honey.bees,SE.hb,Herbivores,SE.herb,Predators,SE.pred,Parasitic.wasps,SE.wasp,Common.name,A.P
3141-88,Pacific Coast Seed,40,51920,24,nemmac,102,53,49,155,Nemophila,maculata,,Nemophila maculata,Boraginaceae,Actinomorphic,14,2.97,Lindl.,-0.44,0.1,0.71,0.15,0.57,0.18,0.18,0.12,-0.05,0.12,Fivespot,A
3-142,Pacific Coast Seed,70,232400,24,nemmen,104,55,49,159,Nemophila,menziesii,,Nemophila menziesii,Boraginaceae,Actinomorphic,13,3.22,Hook. & Arn.,-0.34,0.11,0.72,0.17,0.95,0.2,0.45,0.13,0.39,0.13,Baby blue eyes,A
CALCIL WinF10-13,Hedgerow Farms,50,644816,50,calcil,107,46,61,153,Calandrinia,menziesii,,Calandrinia menziesii,Montiaceae,Actinomorphic,15,2.3,(Hook.) Torr. & A. Gray,-0.19,0.11,-0.31,0.17,1.5,0.2,0.15,0.13,0.42,0.13,Red maids,A
CR4193B,Pacific Coast Seed,20,188395,36,amsint,109,57,52,166,Amsinckia,intermedia,,Amsinckia intermedia,Boraginaceae,Actinomorphic,17,2.38,Fisch. & C.A. Mey.,-0.31,0.1,0.38,0.15,1.05,0.18,0.41,0.12,0.64,0.12,Common fiddleneck,A
0,OMGA,40,45000,2,limalb,114,31,83,144,Limnanthes,alba,,Limnanthes alba,Limnanthaceae,Actinomorphic,16,2.69,Benth.,-0.1,0.1,0.58,0.15,1.29,0.18,0.3,0.12,0.37,0.12,White meadowfoam,A
Lascal DgS-14,Hedgerow Farms,100,2457462,60,lascal,117,50,66,167,Lasthenia,californica,,Lasthenia californica,Asteraceae,Composite,15.5,2.79,Lindl.,-0.19,0.1,-0.23,0.15,1.41,0.18,0.38,0.12,0.55,0.12,California goldfields,A
PhatanFreF15-13,Hedgerow Farms,15,282322,20,phatan,120,63,57,183,Phacelia,tanacetifolia,,Phacelia tanacetifolia,Boraginaceae,Actinomorphic,20,2.39,Benth. ,0.01,0.1,0.82,0.15,0.96,0.18,0.15,0.12,0.21,0.12,Lacy phacelia,A
COLHET E130-14,S&S via Hedgerow Farms,50,317919,30,colhet,121,43,78,164,Collinsia,heterophylla,,Collinsia heterophylla,Plantaginaceae,Zygomorphic,17.5,2.95,Buist,-0.19,0.1,0.26,0.15,1.07,0.2,0.21,0.13,0.06,0.13,Purple Chinese houses,A
Lasgla YbyF15-10,Hedgerow Farms,100,1033723,36,lasgla,122,58,64,180,Lasthenia,glabrata,,Lasthenia glabrata,Asteraceae,Composite,18,2.78,Lindl.,-0.07,0.12,-0.4,0.18,1.4,0.21,0.13,0.14,0.76,0.14,Yellowray goldfields,A
WS3025,Pacific Coast Seed,60,273158,56,phacil,122,70,52,191,Phacelia,ciliata,,Phacelia ciliata,Boraginaceae,Actinomorphic,17,2.56,Benth.,0.22,0.12,0.91,0.18,0.49,0.21,-0.2,0.14,0.21,0.14,Great Valley phacelia,A
Lupsuc Win F16-10,Hedgerow Farms,15,9948,15,lupsuc,124,58,67,182,Lupinus,succulentus,,Lupinus succulentus,Fabaceae,Zygomorphic,20.2,2.57,Koch,0.08,0.14,-0.21,0.22,1.23,0.26,1.13,0.17,0.05,0.17,Arroyo lupine,A
Trigra WinMf-13,Hedgerow Farms,120,222352,40,trigra,127,38,89,165,Trifolium,gracilentum,,Trifolium gracilentum,Fabaceae,Zygomorphic,18.5,1.02,Torr. & A.Gray,-0.48,0.12,-0.35,0.18,1.41,0.21,0.54,0.14,0.6,0.14,Pinpoint clover,A
