,bee,lecty,lifestyle,host.plant,source,min.day,max.day,med.day,n.day,n.obs,n.spec,phen,wmpd,n.lect,s.lect,cucurbit,sunflower,tomato
1,Agapostemon texanus,poly,solitary,NA,,52,315,174,90,142,948,263,154,190,45,0,0,0
2,Andrena angustitarsata,poly,solitary,NA,,84,141,111,12,18,39,57,134,39,9,0,0,0
3,Andrena anisochlora,poly,solitary,NA,,55,102,100.5,3,4,4,47,106,3,2,0,0,0
4,Andrena astragali,olig,NA,Zigadenus: Liliaceae,Tepedino 2003 J Kansas Ent Soc,110,110,110,1,1,1,0,NA,1,1,0,0,0
5,Andrena atypica,olig,solitary,NA,,86,101,86,3,4,6,15,169,6,4,0,0,0
6,Andrena auricoma,poly,solitary,NA,,86,116,104,10,11,23,30,194,23,13,0,0,0
7,Andrena caerulea,NA,NA,NA,,86,110,91,7,8,22,24,187,22,6,0,0,0
8,Andrena candida,poly,solitary,NA,,51,181,110,30,39,89,130,153,83,18,0,0,0
9,Andrena cerasifolii,poly,solitary,NA,,55,176,142,11,14,21,121,189,21,13,0,0,0
10,Andrena cercocarpi,poly,solitary,NA,,90,112,91,4,5,5,22,188,5,4,0,0,0
11,Andrena chalybioides,olig,solitary,NA,,99,120,99,3,3,9,21,47,9,2,0,0,0
12,Andrena chlorogaster,poly,solitary,NA,,52,141,99,28,44,136,89,191,119,29,0,0,0
13,Andrena concinnula,NA,NA,NA,,52,100,86,4,4,10,48,47,9,2,0,0,0
14,Andrena cressonii,poly,solitary,NA,,89,113,105.5,5,5,12,24,100,12,7,0,0,0
15,Andrena cuneilabris,olig,solitary,NA,,55,101,100,5,5,14,46,37,12,3,0,0,0
16,Andrena duboisi,NA,NA,NA,,94,94,94,1,1,1,0,NA,1,1,0,0,0
17,Andrena hypoleuca,uk,solitary,NA,,86,133,104,5,5,5,47,163,5,4,0,0,0
18,Andrena ishii,NA,NA,NA,,82,100,100,2,2,5,18,NA,4,1,0,0,0
19,Andrena knuthiana,NA,solitary,NA,,128,191,181,3,3,3,63,104,3,2,0,0,0
20,Andrena lewisorum,NA,NA,NA,,133,133,133,1,1,1,0,NA,1,1,0,0,0
21,Andrena melanochroa,olig,solitary,Rosaceae,,77,77,77,1,1,1,0,NA,1,1,0,0,0
22,Andrena microchlora,NA,NA,NA,,87,103,92,7,7,9,16,123,9,6,0,0,0
23,Andrena misella,poly,solitary,NA,,89,106,106,6,6,21,17,124,21,5,0,0,0
24,Andrena miserabilis,poly,solitary,NA,,79,99,82,3,4,14,20,147,4,3,0,0,0
25,Andrena nigrocaerulea,poly,solitary,NA,,79,142,79,11,13,85,63,150,12,8,0,0,0
26,Andrena orthocarpi,poly,solitary,NA,,89,121,100,10,15,45,32,182,45,17,0,0,0
27,Andrena pallidifovea,olig,solitary,NA,,86,135,112,10,11,19,49,195,19,8,0,0,0
28,Andrena palpalis,NA,NA,NA,,54,104,77,8,8,38,50,24,38,5,0,0,0
29,Andrena pensilis,olig,solitary,NA,,92,112,92,3,4,5,20,77,5,3,0,0,0
30,Andrena piperi,poly,solitary,NA,,53,142,100.5,20,30,112,89,44,91,11,0,0,0
31,Andrena plana,NA,NA,NA,,91,92,91.5,2,2,2,1,NA,2,1,0,0,0
32,Andrena prunorum,NA,NA,NA,,100,103,101.5,2,2,2,3,137,2,2,0,0,0
33,Andrena salicifloris,NA,NA,NA,,107,109,108,3,3,3,2,119,2,2,0,0,0
34,Andrena scurra,NA,NA,NA,,105,105,105,1,1,1,0,NA,1,1,0,0,0
35,Andrena semipunctata,olig,solitary,NA,,86,100,99,3,3,5,14,NA,5,1,0,0,0
36,Andrena sola,NA,NA,NA,,103,103,103,1,1,1,0,NA,1,1,0,0,0
37,Andrena suavis,olig,solitary,NA,,55,113,91,5,5,5,58,147,4,3,0,0,0
38,Andrena subaustralis,olig,solitary,NA,,99,115,99.5,3,3,4,16,119,4,2,0,0,0
39,Andrena subchalybea,olig,solitary,NA,,73,120,103,11,13,26,47,114,24,7,0,0,0
40,Andrena subtilis,poly,solitary,NA,,91,113,110,8,12,15,22,142,15,10,0,0,0
41,Andrena w-scripta,poly,solitary,NA,,86,169,147,13,15,73,83,180,73,12,0,0,0
42,Anthidiellum ehrhorni,poly,solitary,NA,,153,195,176,5,7,11,42,141,11,6,0,0,0
43,Anthidiellum notatum,poly,solitary,NA,,157,267,210,19,22,56,110,139,56,17,0,0,0
44,Anthidium illustre,NA,NA,NA,,132,157,132,2,2,4,25,127,4,3,0,0,0
45,Anthidium maculosum,NA,NA,NA,,264,264,264,1,1,1,0,NA,1,1,0,0,0
46,Anthidium manicatum,poly,solitary,NA,,118,264,152.5,25,25,40,146,108,40,13,0,0,0
47,Anthidium mormonum,poly,solitary,NA,,132,157,157,2,2,3,25,49,3,3,0,0,0
48,Anthidium utahense,poly,solitary,NA,,132,181,153.5,7,8,14,49,116,14,6,0,0,0
49,Anthophora bomboides,poly,solitary,NA,,113,157,155,4,4,8,44,129,8,4,0,0,0
50,Anthophora californica,poly,solitary,NA,,100,133,104,7,11,14,33,177,14,6,0,0,0
51,Anthophora edwardsii,poly,solitary,NA,,54,133,92,15,19,23,79,171,23,9,0,0,0
52,Anthophora pacifica,poly,solitary,NA,,92,113,106.5,3,3,4,21,127,4,3,0,0,0
53,Anthophora phaceliae,NA,NA,NA,,100,135,117.5,2,2,2,35,22,2,2,0,0,0
54,Anthophora urbana,poly,solitary,NA,,92,284,212,83,118,359,192,82,357,32,0,0,0
55,Anthophorula chionura,NA,NA,NA,,162,267,229,14,15,135,105,2,135,2,0,0,0
56,Apis mellifera,poly,social,NA,,51,251,142,24,30,186,200,196,175,25,0,0,0
57,Ashmeadiella aridula,poly,solitary,NA,,135,264,180,62,96,221,129,178,201,31,0,0,0
58,Ashmeadiella bucconis,poly,solitary,NA,,154,230,179.5,25,30,76,76,12,76,2,0,0,0
59,Ashmeadiella cactorum,NA,NA,NA,,138,252,181,16,18,28,114,143,19,9,0,0,0
60,Ashmeadiella salviae,NA,NA,NA,,157,157,157,1,1,1,0,NA,1,1,0,0,0
61,Ashmeadiella timberlakei,NA,NA,NA,,132,181,157,5,7,13,49,42,13,4,0,0,0
62,Bombus californicus,poly,social,NA,,88,220,169,65,107,242,132,201,233,50,0,0,0
63,Bombus crotchii,poly,social,NA,,131,195,139,9,11,24,64,66,24,6,0,0,0
64,Bombus melanopygus,poly,social,NA,,73,157,111,36,81,361,84,165,360,32,0,0,0
65,Bombus sonorus,NA,NA,NA,,157,157,157,1,1,1,0,NA,1,1,0,0,0
66,Bombus vandykei,NA,NA,NA,,107,174,152,21,24,137,67,101,137,17,1,0,0
67,Bombus vosnesenskii,poly,social,NA,,73,229,180,90,180,1502,156,194,1464,79,0,1,1
68,Brachynomada melanantha,NA,NA,NA,,211,236,236,2,2,4,25,77,4,2,0,0,0
69,Calliopsis anthidia,NA,NA,NA,,135,135,135,1,1,4,0,NA,NA,NA,0,0,0
70,Calliopsis fracta,olig,solitary,NA,,115,133,133,2,2,22,18,NA,22,1,0,0,0
71,Ceratina acantha,poly,solitary,NA,,50,286,142,73,125,1263,236,162,587,55,0,0,0
72,Ceratina arizonensis,poly,solitary,NA,,82,286,181,49,64,237,204,175,191,29,0,0,0
73,Ceratina dallatorreana,poly,solitary,NA,,82,262,171,59,90,282,180,182,131,23,0,0,0
74,Ceratina nanula,poly,solitary,NA,,88,263,156,29,40,70,175,205,68,18,0,0,0
75,Ceratina punctigena,poly,solitary,NA,,91,220,196,7,8,25,129,130,25,8,0,0,0
76,Ceratina sequoiae,olig,solitary,NA,,89,157,153,9,13,36,68,177,36,13,0,0,0
77,Ceratina tejonensis,poly,solitary,NA,,100,210,153,4,5,5,110,141,5,3,0,0,0
78,Ceratina timberlakei,NA,NA,NA,,86,212,156,3,3,4,126,113,3,3,0,0,0
79,Chelostoma phaceliae,olig,solitary,NA,,101,153,132,7,9,58,52,38,58,5,0,0,0
80,Coelioxys novomexicana,NA,parasite,NA,,162,226,194,2,2,2,64,NA,2,1,0,0,0
81,Coelioxys octodentata,poly,parasite,NA,,267,267,267,1,1,1,0,NA,1,1,0,0,0
82,Colletes consors,poly,solitary,NA,,126,126,126,1,1,1,0,NA,1,1,0,0,0
83,Colletes fulgidus,NA,NA,NA,,116,280,150.5,4,4,6,164,145,6,4,0,0,0
84,Colletes hyalinus,poly,solitary,NA,,132,132,132,1,1,1,0,NA,1,1,0,0,0
85,Diadasia bituberculata,olig,solitary,NA,,135,157,155.5,3,3,4,22,220,3,3,0,0,0
86,Diadasia consociata,olig,solitary,NA,,138,259,177.5,24,25,46,121,131,45,6,0,0,0
87,Diadasia enavata,olig,solitary,NA,,153,286,225.5,59,89,1272,133,19,1265,15,0,1,0
88,Diadasia nigrifrons,NA,NA,NA,,142,142,142,1,1,1,0,NA,1,1,0,0,0
89,Diadasia ochracea,NA,NA,NA,,141,236,196,12,12,37,95,158,37,10,0,0,0
90,Dianthidium parvum,NA,NA,NA,,196,196,196,1,1,1,0,NA,1,1,0,0,0
91,Dianthidium pudicum,NA,NA,NA,,136,227,171,5,8,20,91,157,4,4,0,0,0
92,Dianthidium ulkei,olig,solitary,NA,,172,217,196,3,4,6,45,125,6,5,0,0,0
93,Dieunomia nevadensis,NA,NA,NA,,237,237,237,1,1,30,0,NA,30,1,0,0,0
94,Dioxys pomonae,NA,NA,NA,,91,153,112,4,4,5,62,130,5,3,0,0,0
95,Eucera actuosa,poly,solitary,NA,,77,165,112,59,114,529,88,129,510,32,0,0,0
96,Eucera amsinckiae,olig,solitary,NA,,55,126,89,19,27,56,71,20,56,4,0,0,0
97,Eucera delphinii,NA,NA,NA,,113,113,113,1,1,1,0,NA,1,1,0,0,0
98,Eucera dorsata,NA,NA,NA,,86,113,100,4,4,7,27,128,7,3,0,0,0
99,Eucera edwardsii,NA,NA,NA,,105,135,108,4,4,8,30,NA,NA,NA,0,0,0
100,Eucera frater,poly,solitary,NA,,86,157,104,27,51,117,71,61,115,14,0,0,0
101,Eucera lunata,poly,solitary,NA,,86,111,91,5,8,9,25,84,9,4,0,0,0
