,Abronia_maritima,Achillea_millefolium,Acmispon_americanus,Amsinckia_intermedia,Asclepias_eriocarpa,Asclepias_fascicularis,Brassica_nigra,Calandrinia_menziesii,Camissoniopsis_cheiranthifolia,Clarkia_purpurea,Clarkia_unguiculata,Clarkia_williamsonii,Collinsia_heterophylla,Convolvulus_arvensis,Eriogonum_fasciculatum,Eriophyllum_lanatum,Erodium_moschatum,Erysimum_suffrutescens,Eschscholzia_californica,Fagopyrum_esculentum,Gilia_capitata,Grindelia_camporum,Helianthus_annuus,Helianthus_bolanderi,Helianthus_californicus,Heterotheca_grandiflora,Hirschfeldia_incana,Lasthenia_californica,Lasthenia_glabrata,Limnanthes_alba,Lupinus_microcarpus,Lupinus_formosus,Lupinus_succulentus,Madia_elegans,Malacothrix_saxatilis,Monardella_villosa,Nemophila_maculata,Nemophila_menziesii,Oenothera_elata,Penstemon_heterophyllus,Phacelia_californica,Phacelia_campanularia,Phacelia_ciliata,Phacelia_tanacetifolia,Antirrhinum_cornutum,Salvia_columbariae,Scrophularia_californica,Sphaeralcea_ambigua,Symphyotrichum_chilense,Trifolium_gracilentum,Trichostema_lanceolatum,Trifolium_fucatum
Agapostemon texanus,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,1,0,1,5,3,6,1,2,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,1,4,0,0,0,0,7,0,0,0,0
Andrena angustitarsata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Andrena auricoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Andrena candida,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Andrena cuneilabris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrena duboisi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrena salicifloris,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthidiellum notatum,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anthidium manicatum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0
Anthophora urbana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0
